Mon,Tues,Wed,Thur,Fri,Sat,Sun,PH
07:00:00 AM,07:00:00 AM,07:00:00 AM,07:00:00 AM,07:00:00 AM,07:00:00 AM,11:00:00 AM,11:00:00 AM
07:20:00 AM,07:20:00 AM,07:20:00 AM,07:20:00 AM,07:20:00 AM,07:20:00 AM,11:30:00 AM,11:30:00 AM
07:40:00 AM,07:40:00 AM,07:40:00 AM,07:40:00 AM,07:40:00 AM,07:40:00 AM,12:00:00 PM,12:00:00 PM
08:00:00 AM,08:00:00 AM,08:00:00 AM,08:00:00 AM,08:00:00 AM,08:00:00 AM,12:30:00 PM,12:30:00 PM
08:20:00 AM,08:20:00 AM,08:20:00 AM,08:20:00 AM,08:20:00 AM,08:20:00 AM,01:00:00 PM,01:00:00 PM
08:40:00 AM,08:40:00 AM,08:40:00 AM,08:40:00 AM,08:40:00 AM,08:40:00 AM,01:30:00 PM,01:30:00 PM
09:00:00 AM,09:00:00 AM,09:00:00 AM,09:00:00 AM,09:00:00 AM,09:00:00 AM,02:00:00 PM,02:00:00 PM
09:20:00 AM,09:20:00 AM,09:20:00 AM,09:20:00 AM,09:20:00 AM,09:20:00 AM,02:30:00 PM,02:30:00 PM
09:40:00 AM,09:40:00 AM,09:40:00 AM,09:40:00 AM,09:40:00 AM,09:40:00 AM,03:00:00 PM,03:00:00 PM
10:00:00 AM,10:00:00 AM,10:00:00 AM,10:00:00 AM,10:00:00 AM,10:00:00 AM,03:30:00 PM,03:30:00 PM
10:20:00 AM,10:20:00 AM,10:20:00 AM,10:20:00 AM,10:20:00 AM,10:20:00 AM,04:00:00 PM,04:00:00 PM
10:40:00 AM,10:40:00 AM,10:40:00 AM,10:40:00 AM,10:40:00 AM,10:40:00 AM,04:30:00 PM,04:30:00 PM
11:00:00 AM,11:00:00 AM,11:00:00 AM,11:00:00 AM,11:00:00 AM,11:00:00 AM,05:00:00 PM,05:00:00 PM
11:20:00 AM,11:20:00 AM,11:20:00 AM,11:20:00 AM,11:20:00 AM,11:20:00 AM,05:30:00 PM,05:30:00 PM
11:40:00 AM,11:40:00 AM,11:40:00 AM,11:40:00 AM,11:40:00 AM,11:40:00 AM,06:00:00 PM,06:00:00 PM
12:00:00 PM,12:00:00 PM,12:00:00 PM,12:00:00 PM,12:00:00 PM,12:00:00 PM,06:30:00 PM,06:30:00 PM
12:22:00 PM,12:22:00 PM,12:22:00 PM,12:22:00 PM,12:22:00 PM,12:22:00 PM,,
12:45:00 PM,12:45:00 PM,12:45:00 PM,12:45:00 PM,12:45:00 PM,12:45:00 PM,,
01:07:00 PM,01:07:00 PM,01:07:00 PM,01:07:00 PM,01:07:00 PM,01:07:00 PM,,
01:30:00 PM,01:30:00 PM,01:30:00 PM,01:30:00 PM,01:30:00 PM,01:30:00 PM,,
01:52:00 PM,01:52:00 PM,01:52:00 PM,01:52:00 PM,01:52:00 PM,01:52:00 PM,,
02:15:00 PM,02:15:00 PM,02:15:00 PM,02:15:00 PM,02:15:00 PM,02:15:00 PM,,
02:37:00 PM,02:37:00 PM,02:37:00 PM,02:37:00 PM,02:37:00 PM,02:37:00 PM,,
03:00:00 PM,03:00:00 PM,03:00:00 PM,03:00:00 PM,03:00:00 PM,03:00:00 PM,,
03:22:00 PM,03:22:00 PM,03:22:00 PM,03:22:00 PM,03:22:00 PM,03:22:00 PM,,
03:45:00 PM,03:45:00 PM,03:45:00 PM,03:45:00 PM,03:45:00 PM,03:45:00 PM,,
04:07:00 PM,04:07:00 PM,04:07:00 PM,04:07:00 PM,04:07:00 PM,04:07:00 PM,,
04:30:00 PM,04:30:00 PM,04:30:00 PM,04:30:00 PM,04:30:00 PM,04:30:00 PM,,
04:52:00 PM,04:52:00 PM,04:52:00 PM,04:52:00 PM,04:52:00 PM,04:52:00 PM,,
05:15:00 PM,05:15:00 PM,05:15:00 PM,05:15:00 PM,05:15:00 PM,05:15:00 PM,,
05:31:00 PM,05:31:00 PM,05:31:00 PM,05:31:00 PM,05:31:00 PM,05:37:00 PM,,
05:47:00 PM,05:47:00 PM,05:47:00 PM,05:47:00 PM,05:47:00 PM,06:00:00 PM,,
06:04:00 PM,06:04:00 PM,06:04:00 PM,06:04:00 PM,06:04:00 PM,06:22:00 PM,,
06:22:00 PM,06:22:00 PM,06:22:00 PM,06:22:00 PM,06:22:00 PM,06:45:00 PM,,
06:45:00 PM,06:45:00 PM,06:45:00 PM,06:45:00 PM,06:45:00 PM,07:07:00 PM,,
07:07:00 PM,07:07:00 PM,07:07:00 PM,07:07:00 PM,07:07:00 PM,07:30:00 PM,,
07:30:00 PM,07:30:00 PM,07:30:00 PM,07:30:00 PM,07:30:00 PM,07:52:00 PM,,
07:52:00 PM,07:52:00 PM,07:52:00 PM,07:52:00 PM,07:52:00 PM,08:15:00 PM,,
08:15:00 PM,08:15:00 PM,08:15:00 PM,08:15:00 PM,08:15:00 PM,08:37:00 PM,,
08:37:00 PM,08:37:00 PM,08:37:00 PM,08:37:00 PM,08:37:00 PM,09:00:00 PM,,
09:00:00 PM,09:00:00 PM,09:00:00 PM,09:00:00 PM,09:00:00 PM,09:22:00 PM,,
09:22:00 PM,09:22:00 PM,09:22:00 PM,09:22:00 PM,09:22:00 PM,09:45:00 PM,,
09:45:00 PM,09:45:00 PM,09:45:00 PM,09:45:00 PM,09:45:00 PM,,,
